6,0.58,0.81,0.30,1
6,0.60,0.83,0.29,1
6,0.58,0.84,0.30,1
6,0.60,0.83,0.30,1
6,0.61,0.81,0.30,1
6,0.62,0.77,0.32,1
6,0.68,0.70,0.34,1
6,1.11,0.59,0.49,1
6,2.00,0.54,0.93,1
6,2.00,0.54,0.73,1
6,2.00,0.28,-1.05,1
6,0.35,-0.95,-0.64,1
6,-2.00,-2.00,1.78,1
6,-2.00,-1.53,2.00,1
6,-0.42,2.00,1.16,1
6,-2.00,-0.50,2.00,1
6,-0.54,-1.33,2.00,1
6,-0.56,-0.29,0.01,1
6,0.35,0.43,0.70,1
6,0.97,0.59,1.30,1
6,1.06,0.57,0.57,1
6,1.33,0.71,0.11,1
6,1.13,0.74,0.38,1
6,1.15,0.65,0.36,1
6,1.04,0.57,0.51,1
6,0.93,0.57,0.28,1
6,0.72,0.55,0.21,1
6,0.67,0.60,0.37,1
6,0.77,0.71,0.27,1
6,0.68,0.74,0.02,1
6,0.68,0.71,0.27,1
6,0.72,0.66,0.40,1
6,0.64,0.64,0.27,1
6,0.63,0.65,0.22,1
6,0.65,0.69,0.33,1
6,0.66,0.75,0.40,1
6,0.65,0.80,0.29,1
6,0.68,0.82,0.27,1
@@ 1: JAB | 2: HOOK | 3: UPPERCUT | 4: STANCE
7,0.60,0.82,0.27,1
7,0.60,0.82,0.27,1
7,0.61,0.82,0.27,1
7,0.62,0.82,0.27,1
7,0.62,0.81,0.26,1
7,0.61,0.82,0.28,1
7,0.62,0.81,0.27,1
7,0.61,0.81,0.26,1
7,0.61,0.82,0.26,1
7,0.61,0.79,0.28,1
7,0.62,0.79,0.26,1
7,0.62,0.79,0.27,1
7,0.62,0.79,0.29,1
7,0.63,0.81,0.27,1
7,0.62,0.83,0.24,1
7,0.62,0.84,0.23,1
7,0.61,0.82,0.23,1
7,0.61,0.81,0.23,1
7,0.65,0.76,0.27,1
7,0.72,0.71,0.26,1
7,0.92,0.67,0.31,1
7,1.51,0.60,0.55,1
7,2.00,0.38,0.74,1
7,2.00,-0.00,0.49,1
7,1.65,-0.25,-0.76,1
7,-1.50,-1.74,0.05,1
7,-2.00,-1.98,2.00,1
7,-2.00,2.00,1.06,1
7,-2.00,-0.68,2.00,1
7,-0.41,-0.43,2.00,1
7,0.08,-0.46,0.68,1
7,1.81,-0.00,1.31,1
7,2.00,0.25,0.79,1
7,1.84,0.67,0.16,1
7,1.27,0.95,0.12,1
7,0.89,0.85,0.20,1
7,0.71,0.67,0.16,1
7,0.61,0.62,0.30,1
7,0.56,0.68,0.43,1
7,0.58,0.83,0.17,1
@@ 1: JAB | 2: HOOK | 3: UPPERCUT | 4: STANCE
8,0.61,0.82,0.27,1
8,0.58,0.81,0.27,1
8,0.59,0.81,0.25,1
8,0.58,0.81,0.28,1
8,0.58,0.81,0.28,1
8,0.60,0.81,0.28,1
8,0.61,0.84,0.24,1
8,0.60,0.82,0.25,1
8,0.61,0.79,0.27,1
8,0.65,0.77,0.27,1
8,0.73,0.72,0.37,1
8,1.16,0.67,0.51,1
8,1.96,0.63,0.81,1
8,2.00,0.66,0.66,1
8,2.00,0.77,-0.45,1
8,1.46,0.19,-1.08,1
8,-1.20,-1.95,-0.32,1
8,-2.00,-2.00,2.00,1
8,-2.00,2.00,-0.39,1
8,-2.00,2.00,0.60,1
8,-2.00,-1.41,2.00,1
8,-0.35,-0.36,0.81,1
8,-0.28,0.25,-0.07,1
8,1.06,0.60,1.84,1
8,0.97,0.45,0.97,1
8,1.24,0.51,0.02,1
8,1.21,0.59,0.17,1
8,1.24,0.65,0.33,1
8,1.08,0.75,0.33,1
8,0.89,0.79,0.03,1
8,0.80,0.70,0.13,1
8,0.71,0.64,0.35,1
8,0.66,0.78,0.11,1
8,0.61,0.73,0.03,1
8,0.66,0.67,0.32,1
8,0.70,0.74,0.21,1
8,0.60,0.76,0.06,1
8,0.67,0.73,0.27,1
8,0.66,0.74,0.18,1
8,0.68,0.71,0.13,1
@@ 1: JAB | 2: HOOK | 3: UPPERCUT | 4: STANCE
9,0.66,0.79,0.19,1
9,0.67,0.79,0.18,1
9,0.63,0.81,0.15,1
9,0.61,0.80,0.14,1
9,0.63,0.81,0.14,1
9,0.65,0.76,0.22,1
9,0.74,0.74,0.39,1
9,0.96,0.74,0.42,1
9,1.68,0.73,0.65,1
9,2.00,0.47,0.66,1
9,2.00,0.08,-0.22,1
9,1.45,-1.00,-0.93,1
9,-2.00,-2.00,1.08,1
9,-2.00,-2.00,2.00,1
9,-0.56,2.00,1.71,1
9,-2.00,-0.38,2.00,1
9,-1.19,-0.95,1.90,1
9,-0.43,-0.08,-0.15,1
9,0.89,0.23,1.75,1
9,0.86,0.13,0.82,1
9,1.57,0.60,0.38,1
9,1.21,0.75,0.49,1
9,1.17,0.81,0.49,1
9,1.01,0.92,0.29,1
9,0.78,0.76,0.17,1
